Thread ID: 70174741057220
Total: 664.733650

 %self     total     self     wait    child    calls  name
  0.18      1.17     1.17     0.00     0.00   482682  <Class::Word(id: integer, name: string, alert: integer, category_id: integer, created_at: datetime, updated_at: datetime)>#table_name (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activemodel-3.1.3/lib/active_model/attribute_methods.rb:116}
  0.18      1.49     1.17     0.00     0.32   156402  Array#hash (ruby_runtime:0}
  0.17     60.68     1.16     0.00    59.52    30553  ActiveRecord::Relation#insert (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/relation.rb:36}
  0.17      1.13     1.13     0.00     0.00   387870  Arel::Nodes::Binary#initialize (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/nodes/binary.rb:6}
  0.17      1.10     1.10     0.00     0.00   161652  <Class::ActiveRecord::Base>#lock_optimistically (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activesupport-3.1.3/lib/active_support/core_ext/class/attribute_accessors.rb:36}
  0.17      1.42     1.10     0.00     0.32   268669  <Class::ActiveRecord::Base>#finder_needs_type_condition? (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:831}
  0.16      1.44     1.08     0.00     0.37   161973  Arel::SelectManager#from (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/select_manager.rb:91}
  0.16      1.56     1.07     0.00     0.49   415678  Time#initialize (ruby_runtime:0}
  0.16      2.24     1.06     0.00     1.18   151909  ActiveRecord::Base#convert_number_column_value (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/activerecord-3.1.3/lib/active_record/base.rb:2117}
  0.16      1.05     1.05     0.00     0.00   223115  SQLite3::Statement#close (ruby_runtime:0}
  0.16      3.00     1.05     0.00     1.96   161960  Arel::SelectManager#take (/Users/francis/.rvm/gems/ruby-1.9.2-p290/gems/arel-2.2.1/lib/arel/select_manager.rb:197}
